selidik,-3
wajib,-2
lagi,-3
negasi,-2
meh,-5
kota,-1
varian,-2
semi,-2
keruh,-4
colong,-5
kusut,-4
rudapaksa,-4
telaah,-2
ruwet,-4
sedih,-5
teledor,-5
hati,-2
kot,-1
serah,-3
lanjur,-3
cakep,-1
geleng,-3
seperti,-2
kagak,-3
cengang,-2
menung,-3
cengang,-3
cinta,-1
sesal,-4
lumayan,-2
mata,-2
duka,-5
atraktif,-2
pamer,-3
pucat,-4
pesona,-1
banjir,-4
takjub,-1
terpana,-2
bah,-3
kesima,-1
takjub,-1
pukau,-1
impas,-3
takjub,-1
bandang,-4
pukau,-1
tiada,-5
rasisme,-5
pesona,-1
sirik,-5
heran,-3
sesal,-4
gapernah,-3
rapi,-2
tanya,-3
penasaran,-3
tulus hati,-1
beton,-2
tunggu,-3
umpan,-3
cadas,-3
lembek,-4
hih,-4
tutup,-3
korban,-4
kurban,-3
sikit,-3
awal,-2
peduli,-1
bongkah,-2
bodoamat,-4
rela,-3
dengkik,-4
takda,-2
obat,-3
tetua,-2
error,-5
anugerah,-1
dongeng,-1
jir,-3
batas waktu,-3
impoten,-5
kiri,-3
perih,-4
babi,-4
habitat,-2
kenang,-2
reka,-2
memejahijaukan,-4
sembah,-2
tangguh,-2
sudah,-2
gebetan,-2
jutek,-5
ajal,-4
aku,-3
gerombol,-4
ora,-3
gatel,-3
tajam,-2
curu,-3
nongol,-2
barzakh,-4
sidang,-3
pantes,-3
ngalah,-3
jabat,-3
ganjil,-4
ketidaktentuan,-5
jarak,-3
sad,-4
comeback,-2
udahan,-4
ugh,-4
acuh tak acuh,-3
next,-2
tutup,-3
jenguk,-4
cuek,-5
sangkut-paut,-4
sayup,-3
ish,-4
doh,-4
pantat,-3
tebal telinga,-3
aneh,-4
korek,-4
diet,-3
syedih,-5
lugu,-2
interaksi,-2
berhala,-4
sudah,-3
iih,-5
tai,-5
kemaknagandaan,-3
masa bodoh,-4
final,-2
dimarahin,-5
nyuruh,-3
dibales,-3
sangkut,-4
kampret,-5
istirahat,-2
jin,-3
mikirin,-3
murtad,-5
mogok,-5
setan,-4
nyebut,-3
piye,-3
gusur,-5
drastis,-4
pojok,-4
cengang,-3
tunggu,-2
demon,-3
durhaka,-5
super,-2
kesal,-5
iblis,-4
baperan,-4
ngikutin,-2
sebentar,-2
keri,-4
hantu,-4
makhluk halus,-4
got,-3
diam,-3
bunuh,-5
siluman,-5
tumpah hati,-3
momok,-4
antem,-4
mangkas,-2
bain,-2
sundal bolong,-5
nahan,-3
sian,-3
jahil,-4
singgah,-2
sekongkol,-4
life,-2
bidah,-3
tantang,-4
selingkuh,-5
getar,-3
bohong,-5
classy,-2
peristiwa,-2
lumat,-4
insiden,-4
oon,-5
orok,-3
selingkuh,-5
nungguin,-2
bijih,-3
pelosot,-3
remuk,-4
keburu,-3
gadai,-3
runtuh,-4
anjing,-4
naena,-2
jabang bayi,-3
binasa,-5
dalih,-4
why,-2
modus,-3
waduh,-3
cuti,-2
bobrok,-5
tidurin,-2
cariin,-2
kandut,-3
dengung,-3
bakar,-3
ganyang,-4
rusak,-4
selusur,-3
konspirasi,-4
kurus,-3
berantak,-4
bully,-5
komplot,-4
jadi,-2
ngomongin,-3
stalk,-4
runtuh,-4
jeriji,-4
pasuk,-3
sange,-5
kongkalikong,-4
serong,-4
maki,-5
cemong,-4
kerasan,-2
kurang,-3
lilit,-3
hina,-5
hina,-5
kurung,-3
kecil,-3
cemooh,-5
malu,-4
umpat,-4
abai,-3
cemooh,-5
merem,-2
lock,-2
leceh,-5
lemah,-4
jelek,-5
ngilang,-3
kerak,-2
daif,-3
hina aib,-4
kontras,-3
ejek,-4
perang,-3
rundung,-4
marahin,-4
kelakar,-4
sakit,-5
sepele,-4
pait,-4
ngertiin,-3
cabul,-5
jijik,-5
tuak,-3
tauu,-3
beda,-2
hina rendah,-3
nista,-4
buruk,-5
kroco,-4
cela,-5
sindir,-4
busuk,-5
kumuh,-4
palit,-3
singgung,-5
besit,-2
cengkerama,-2
cumbu,-3
cemeeh,-4
sekadar,-3
noda,-4
bejat,-5
cibir,-5
biar,-3
rasa malu,-4
olok,-4
sakit,-5
benci,-5
ulah,-4
keji,-5
gampang,-3
gausa,-3
bobrok,-4
nyebelin,-4
main,-2
cumbu,-3
cerca,-4
daif,-4
ldr,-2
menang,-5
genit,-3
erik,-3
lemes,-3
jahad,-4
taraf,-2
monyet,-3
astaghfirullah,-3
letih,-3
tidur,-3
gapaham,-4
capek,-4
lama,-4
punah,-4
lesu,-4
tinggal,-3
apas,-3
mampus,-5
keramat,-3
campur aduk,-2
ricuh,-4
soms,-4
stress,-5
kemayu,-3
cangkum,-3
lama,-2
diginiin,-3
sihh,-2
yakali,-3
sakral,-2
ngenes,-4
tendensi,-3
kalut,-3
mati,-5
lenguh,-4
jahanam,-5
gangerti,-3
gegara,-3
godain,-3
idiot,-5
ambigu,-3
utang,-4
sial,-5
centil,-3
bacot,-4
mls,-4
sunyi,-3
balik,-3
amoral,-3
bekas,-3
anti,-2
gabole,-2
simpan,-3
ganggu,-4
sentimen,-3
perang,-4
santun,-2
rela,-2
mulut,-1
boro,-2
kasam,-3
pencet,-2
bantet,-3
sin,-1
kesumat,-4
bokek,-5
muncikari,-5
tip,-3
asusila,-5
stop,-3
ciut,-3
bengkak hati,-3
kosong,-3
dendam,-5
gaenak,-3
susah,-3
mucikari,-5
maapkan,-3
vulgar,-3
ndut,-4
turun,-3
hilang,-4
kecoa,-3
poko,-2
gituan,-3
ratap,-3
sepi,-4
pesan,-3
gelanggang,-3
salah,-4
kampit,-1
tunggu,-2
dengu,-3
gaje,-3
sakit,-4
senjang,-4
cedih,-3
jauh,-4
jijik,-5
putus,-5
nyakitin,-5
ngadu,-3
najis,-4
kzl,-5
ego,-3
geli,-2
maklum,-2
kambing,-3
diblock,-4
crash,-4
sampah,-4
maruk,-3
rangsang,-3
abai,-2
ninggalin,-4
otak,-2
erti,-2
renggang,-3
tewas,-5
amarah,-5
radang,-4
melek,-2
kenal,-2
buang,-4
nyangka,-3
dilupain,-4
kebo,-4
nyasar,-4
ungkap,-3
bocor,-4
ekspos,-4
usai,-2
pensiun,-3
dibully,-5
kontol,-5
mimpiin,-2
susila,-2
begadang,-3
eks,-3
mudarat,-5
delete,-3
cerewet,-5
berahi,-5
patah,-4
jerawat,-3
bawel,-4
pudar,-3
tega,-4
hilang,-3
hambur,-3
rongsok,-3
gairah,-2
asih,-2
mencret,-4
mamam,-3
iluminasi,-3
selingkuh,-5
jones,-3
banyak bicara,-3
hapus,-3
mantan,-3
iseng,-3
zakar,-3
air liur,-2
berengsek,-5
laporin,-3
leceh,-5
renti,-3
syahwat,-2
tinggi,-2
penat,-2
nyinyir,-4
bercerai-berai,-5
igau,-3
kenapasih,-3
